GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
doctor,mediscreen.doctor.model,NoteDTO,0,19,0,0,0,4,0,3,0,3
doctor,mediscreen.doctor.model,PatientNotesDTO,0,18,0,0,0,3,0,3,0,3
doctor,mediscreen.doctor.model,NoteEntity,0,47,0,0,0,10,0,5,0,5
doctor,mediscreen.doctor.model,NoteValidation,3,0,0,0,1,0,1,0,1,0
doctor,mediscreen.doctor.service,NoteNotFoundException,0,3,0,0,0,1,0,1,0,1
doctor,mediscreen.doctor.service,CreateExistingNoteException,0,3,0,0,0,1,0,1,0,1
doctor,mediscreen.doctor.service,NoteServiceImpl,0,268,0,12,0,50,0,19,0,13
doctor,mediscreen.doctor,DoctorApplication,5,3,0,0,2,1,1,1,1,1
doctor,mediscreen.doctor.controller,NoteController,1,79,1,1,0,8,1,8,0,8
doctor,mediscreen.doctor.controller,ExceptionManager,12,25,0,0,2,8,2,3,2,3
