GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
report,mediscreen.report.model,PatientNotesData,0,12,0,0,0,2,0,2,0,2
report,mediscreen.report.model,PatientAssessmentDTO,0,9,0,0,0,2,0,2,0,2
report,mediscreen.report.model,NoteData,0,12,0,0,0,2,0,2,0,2
report,mediscreen.report.model,PatientData,0,30,0,0,0,3,0,3,0,3
report,mediscreen.report.model,PatientRiskDTO,3,12,0,0,1,1,1,1,1,1
report,mediscreen.report.service,NoteServiceImpl,0,45,0,2,0,7,0,3,0,2
report,mediscreen.report.service,PatientServiceImpl,0,111,0,5,0,15,0,8,0,5
report,mediscreen.report.service,PatientNotUniqueException,0,4,0,0,0,2,0,1,0,1
report,mediscreen.report.service,PatientNotFoundException,0,4,0,0,0,2,0,1,0,1
report,mediscreen.report.service,AssessmentServiceImpl,4,280,2,20,2,53,2,28,0,19
report,mediscreen.report.service,DoctorUnavailableException,0,4,0,0,0,2,0,1,0,1
report,mediscreen.report,ReportApplication,5,7,0,0,2,2,1,2,1,2
report,mediscreen.report.controller,ExceptionManager,28,21,0,0,8,4,3,4,3,4
report,mediscreen.report.controller,ReportController,0,50,0,8,0,8,0,6,0,2
report,mediscreen.report.controller,RequestParamConflictException,0,4,0,0,0,2,0,1,0,1
